Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,04/07/2020,423,14,18,33,65
,Albania,04/07/2020,383,22,131,41.1533,20.1683
,Algeria,04/07/2020,1468,193,113,28.0339,1.6596
,Andorra,04/07/2020,545,22,39,42.5063,1.5218
,Angola,04/07/2020,17,2,2,-11.2027,17.8739
,Antigua and Barbuda,04/07/2020,19,1,0,17.0608,-61.7964
,Argentina,04/07/2020,1628,56,338,-38.4161,-63.6167
,Armenia,04/07/2020,853,8,87,40.0691,45.0382
Australian Capital Territory,Australia,04/07/2020,96,2,40,-35.4735,149.0124
New South Wales,Australia,04/07/2020,2686,21,4,-33.8688,151.2093
Northern Territory,Australia,04/07/2020,28,0,2,-12.4634,130.8456
Queensland,Australia,04/07/2020,934,4,173,-28.0167,153.4
South Australia,Australia,04/07/2020,411,1,53,-34.9285,138.6007
Tasmania,Australia,04/07/2020,89,2,26,-41.4545,145.9707
Victoria,Australia,04/07/2020,1191,11,620,-37.8136,144.9631
Western Australia,Australia,04/07/2020,460,4,162,-31.9505,115.8605
,Austria,04/07/2020,12639,243,4046,47.5162,14.5501
,Azerbaijan,04/07/2020,717,8,44,40.1431,47.5769
,Bahamas,04/07/2020,33,6,5,25.0343,-77.3963
,Bahrain,04/07/2020,811,5,458,26.0275,50.55
,Bangladesh,04/07/2020,218,20,33,23.685,90.3563
,Barbados,04/07/2020,63,3,6,13.1939,-59.5432
,Belarus,04/07/2020,861,13,54,53.7098,27.9534
,Belgium,04/07/2020,22194,2035,4157,50.8333,4
,Benin,04/07/2020,26,1,0,9.3077,2.3158
,Bhutan,04/07/2020,5,0,5,27.5142,90.4336
,Bolivia,04/07/2020,194,14,2,-16.2902,-63.5887
,Bosnia and Herzegovina,04/07/2020,764,33,2,43.9159,17.6791
,Brazil,04/07/2020,14034,686,68,-14.235,-51.9253
,Brunei,04/07/2020,135,1,127,4.5353,114.7277
,Bulgaria,04/07/2020,577,23,85,42.7339,25.4858
,Burkina Faso,04/07/2020,384,19,42,12.2383,-1.5616
,Cabo Verde,04/07/2020,7,1,127,16.5388,-23.0418
,Cambodia,04/07/2020,115,0,1,11.55,104.9167
,Cameroon,04/07/2020,658,9,58,3.848,11.5021
Alberta,Canada,04/07/2020,1373,24,43,53.9333,-116.5765
British Columbia,Canada,04/07/2020,1266,39,3791,49.2827,-123.1207
Grand Princess,Canada,04/07/2020,13,0,0,37.6489,-122.6655
Manitoba,Canada,04/07/2020,217,3,2,53.7609,-98.8139
New Brunswick,Canada,04/07/2020,105,0,898,46.5653,-66.4619
Newfoundland and Labrador,Canada,04/07/2020,228,1,984,53.1355,-57.6604
Nova Scotia,Canada,04/07/2020,310,1,448,44.682,-63.7443
Ontario,Canada,04/07/2020,4726,153,570,51.2538,-85.3232
Prince Edward Island,Canada,04/07/2020,22,0,305,46.5107,-63.4168
Quebec,Canada,04/07/2020,9340,150,132,52.9399,-73.5491
Saskatchewan,Canada,04/07/2020,260,3,1401,52.9399,-106.4509
,Central African Republic,04/07/2020,8,0,252,6.6111,20.9394
,Chad,04/07/2020,10,0,144,15.4542,18.7322
,Chile,04/07/2020,5116,43,162,-35.6751,-71.543
Anhui,China,04/07/2020,990,6,312,31.8257,117.2264
Beijing,China,04/07/2020,587,8,469,40.1824,116.4142
Chongqing,China,04/07/2020,579,6,1252,30.0572,107.874
Fujian,China,04/07/2020,351,1,216,26.0789,117.9874
Gansu,China,04/07/2020,139,2,64073,37.8099,101.0583
Guangdong,China,04/07/2020,1533,8,1014,23.3417,113.4244
Guangxi,China,04/07/2020,254,2,74,23.8298,108.7881
Guizhou,China,04/07/2020,146,2,633,26.8154,106.8748
Hainan,China,04/07/2020,168,6,935,19.1959,109.7453
Hebei,China,04/07/2020,327,6,92,39.549,116.1306
Heilongjiang,China,04/07/2020,544,13,130,47.862,127.7615
Henan,China,04/07/2020,1276,22,10,33.882,113.614
Hong Kong,China,04/07/2020,935,4,75,22.3,114.2
Hubei,China,04/07/2020,67803,3212,18,30.9756,112.2707
Hunan,China,04/07/2020,1019,4,246,27.6104,111.7088
Inner Mongolia,China,04/07/2020,121,1,755,44.0935,113.9448
Jiangsu,China,04/07/2020,651,0,406,32.9711,119.455
Jiangxi,China,04/07/2020,937,1,133,27.614,115.7221
Jilin,China,04/07/2020,98,1,541,43.6661,126.1923
Liaoning,China,04/07/2020,144,2,151,41.2956,122.6085
Macau,China,04/07/2020,44,0,1,22.1667,113.55
Ningxia,China,04/07/2020,75,0,73,37.2692,106.1655
Qinghai,China,04/07/2020,18,0,173,35.7452,95.9956
Shaanxi,China,04/07/2020,256,3,1230,35.1917,108.8701
Shandong,China,04/07/2020,781,7,100,36.3427,118.1498
Shanghai,China,04/07/2020,538,6,2,31.202,121.4491
Shanxi,China,04/07/2020,138,0,9,37.5777,112.2922
Sichuan,China,04/07/2020,560,3,24,30.6171,102.7103
Tianjin,China,04/07/2020,180,3,41,39.3054,117.323
Tibet,China,04/07/2020,1,0,167,31.6927,88.0924
Xinjiang,China,04/07/2020,76,3,619,41.1129,85.2401
Yunnan,China,04/07/2020,184,2,27,24.974,101.487
Zhejiang,China,04/07/2020,1265,1,47,29.1832,120.0934
,Colombia,04/07/2020,1780,50,172,4.5709,-74.2973
,Congo (Brazzaville),04/07/2020,45,5,120,-4.0383,21.7587
,Congo (Kinshasa),04/07/2020,180,18,10,-4.0383,21.7587
,Costa Rica,04/07/2020,483,2,1491,9.7489,-83.7534
,Cote d'Ivoire,04/07/2020,349,3,9,7.54,-5.5471
,Croatia,04/07/2020,1282,18,1,45.1,15.2
,Diamond Princess,04/07/2020,712,11,36,0,0
,Cuba,04/07/2020,396,11,100,22,-80
,Cyprus,04/07/2020,494,9,276,35.1264,33.4299
,Czechia,04/07/2020,5017,88,5,49.8175,15.473
Faroe Islands,Denmark,04/07/2020,184,0,3,61.8926,-6.9118
Greenland,Denmark,04/07/2020,11,0,0,71.7069,-42.6043
,Denmark,04/07/2020,5071,203,69,56.2639,9.5018
,Djibouti,04/07/2020,90,0,4,11.8251,42.5903
,Dominican Republic,04/07/2020,1956,98,4,18.7357,-70.1627
,Ecuador,04/07/2020,3747,191,0,-1.8312,-78.1834
,Egypt,04/07/2020,1450,94,300,26,30
,El Salvador,04/07/2020,78,4,34,13.7942,-88.8965
,Equatorial Guinea,04/07/2020,16,0,0,1.5,10
,Eritrea,04/07/2020,31,0,31,15.1794,39.7823
,Estonia,04/07/2020,1149,21,50,58.5953,25.0136
,Eswatini,04/07/2020,10,0,22,-26.5225,31.4659
,Ethiopia,04/07/2020,52,2,1,9.145,40.4897
,Fiji,04/07/2020,15,0,40,-17.7134,178.065
,Finland,04/07/2020,2308,34,1,64,26
French Guiana,France,04/07/2020,72,0,7,3.9339,-53.1258
French Polynesia,France,04/07/2020,47,0,19337,-17.6797,149.4068
Guadeloupe,France,04/07/2020,139,7,1,16.25,-61.5833
Mayotte,France,04/07/2020,171,2,2,-12.8275,45.1662
New Caledonia,France,04/07/2020,18,0,46,-20.9043,165.618
Reunion,France,04/07/2020,358,0,36081,-21.1351,55.2471
Saint Barthelemy,France,04/07/2020,6,0,31,17.9,-62.8333
St Martin,France,04/07/2020,32,2,0,18.0708,-63.0501
Martinique,France,04/07/2020,152,4,269,14.6415,-61.0242
,France,04/07/2020,109069,10328,17,46.2276,2.2137
,Gabon,04/07/2020,30,1,5,-0.8037,11.6094
,Gambia,04/07/2020,4,1,0,13.4432,-15.3101
,Georgia,04/07/2020,196,3,8,42.3154,43.3569
,Germany,04/07/2020,107663,2016,0,51,9
,Ghana,04/07/2020,287,5,0,7.9465,-1.0232
,Greece,04/07/2020,1832,81,6,39.0742,21.8243
,Guatemala,04/07/2020,77,3,71,15.7835,-90.2308
,Guinea,04/07/2020,144,0,559,9.9456,-9.6966
,Guyana,04/07/2020,33,5,421,5,-58.75
,Haiti,04/07/2020,25,1,204,18.9712,-72.2852
,Holy See,04/07/2020,7,0,27039,41.9029,12.4534
,Honduras,04/07/2020,305,22,373,15.2,-86.2419
,Hungary,04/07/2020,817,47,25,47.1625,19.5033
,Iceland,04/07/2020,1586,6,770,64.9631,-19.0208
,India,04/07/2020,5311,150,24392,21,78
,Indonesia,04/07/2020,2738,221,8,-0.7893,113.9213
,Iran,04/07/2020,62589,3872,592,32,53
,Iraq,04/07/2020,1122,65,138,33,44
,Ireland,04/07/2020,5709,210,51,53.1424,-7.6921
,Israel,04/07/2020,9248,65,7,31,35
,Italy,04/07/2020,135586,17127,6694,43,12
,Jamaica,04/07/2020,63,3,105,18.1096,-77.2975
,Japan,04/07/2020,3906,92,33,36,138
,Jordan,04/07/2020,353,6,16,31.24,36.51
,Kazakhstan,04/07/2020,697,6,62,48.0196,66.9237
,Kenya,04/07/2020,172,6,3,-0.0236,37.9062
,"Korea, South",04/07/2020,10331,192,1,36,128
,Kuwait,04/07/2020,743,1,55,29.5,47.75
,Kyrgyzstan,04/07/2020,228,4,8,41.2044,74.7661
,Latvia,04/07/2020,548,2,500,56.8796,24.6032
,Lebanon,04/07/2020,548,19,7,33.8547,35.8623
,Liberia,04/07/2020,14,3,1321,6.4281,-9.4295
,Liechtenstein,04/07/2020,78,1,13,47.14,9.55
,Lithuania,04/07/2020,880,15,12,55.1694,23.8813
,Luxembourg,04/07/2020,2970,44,5,49.8153,6.1296
,Madagascar,04/07/2020,88,0,2,-18.7669,46.8691
,Malaysia,04/07/2020,3963,63,8,2.5,112.5
,Maldives,04/07/2020,19,0,633,3.2028,73.2207
,Malta,04/07/2020,293,0,40,35.9375,14.3754
,Mauritania,04/07/2020,6,1,4,21.0079,10.9408
,Mauritius,04/07/2020,268,7,4,-20.2,57.5
,Mexico,04/07/2020,2439,125,4,23.6345,-102.5528
,Moldova,04/07/2020,1056,22,93,47.4116,28.3699
,Monaco,04/07/2020,79,1,1,43.7333,7.4167
,Mongolia,04/07/2020,15,0,3,46.8625,103.8467
,Montenegro,04/07/2020,241,2,1,42.5,19.3
,Morocco,04/07/2020,1184,90,14,31.7917,-7.0926
,Namibia,04/07/2020,16,0,7,-22.9576,18.4904
,Nepal,04/07/2020,9,0,1,28.1667,84.25
Aruba,Netherlands,04/07/2020,74,0,250,12.5186,-70.0358
Curacao,Netherlands,04/07/2020,13,1,241,12.1696,-68.99
Sint Maarten,Netherlands,04/07/2020,40,6,0,18.0425,-63.0548
,Netherlands,04/07/2020,19580,2101,26,52.1326,5.2913
,New Zealand,04/07/2020,1160,1,44,-40.9006,174.886
,Nicaragua,04/07/2020,6,1,30,12.8654,-85.2072
,Niger,04/07/2020,278,11,32,17.6078,8.0817
,Nigeria,04/07/2020,254,6,67,9.082,8.6753
,North Macedonia,04/07/2020,599,26,429,41.6086,21.7453
,Norway,04/07/2020,6086,89,14,60.472,8.4689
,Oman,04/07/2020,371,2,0,21,57
,Pakistan,04/07/2020,4035,57,15,30.3753,69.3451
,Panama,04/07/2020,2100,55,1301,8.538,-80.7821
,Papua New Guinea,04/07/2020,2,0,84,-6.315,143.9555
,Paraguay,04/07/2020,115,5,191,-23.4425,-58.4438
,Peru,04/07/2020,2954,107,184,-9.19,-75.0152
,Philippines,04/07/2020,3764,177,150,13,122
,Poland,04/07/2020,4848,129,460,51.9194,19.1451
,Portugal,04/07/2020,12442,345,494,39.3999,-8.2245
,Qatar,04/07/2020,2057,6,7,25.3548,51.1839
,Romania,04/07/2020,4417,197,0,45.9432,24.9668
,Russia,04/07/2020,7497,58,1,60,90
,Rwanda,04/07/2020,105,0,1,-1.9403,29.8739
,Saint Lucia,04/07/2020,14,0,40,13.9094,-60.9789
,Saint Vincent and the Grenadines,04/07/2020,8,0,615,12.9843,-61.2872
,San Marino,04/07/2020,279,34,105,43.9424,12.4578
,Saudi Arabia,04/07/2020,2795,41,0,24,45
,Senegal,04/07/2020,237,2,0,14.4974,-14.4524
,Serbia,04/07/2020,2447,61,377,44.0165,21.0059
,Seychelles,04/07/2020,11,0,13,-4.6796,55.492
,Singapore,04/07/2020,1481,6,102,1.2833,103.8333
,Slovakia,04/07/2020,581,2,1,48.669,19.699
,Slovenia,04/07/2020,1059,36,95,46.1512,14.9955
,Somalia,04/07/2020,8,0,43208,5.1521,46.1996
,South Africa,04/07/2020,1749,13,42,-30.5595,22.9375
,Spain,04/07/2020,141942,14045,2,40,-4
,Sri Lanka,04/07/2020,185,6,0,7,81
,Sudan,04/07/2020,14,2,205,12.8628,30.2176
,Suriname,04/07/2020,10,1,8704,3.9193,-56.0278
,Sweden,04/07/2020,7693,591,3,63,16
,Switzerland,04/07/2020,22253,821,57,46.8182,8.2275
,Taiwan*,04/07/2020,376,5,5,23.7,121
,Tanzania,04/07/2020,24,1,888,-6.369,34.8888
,Thailand,04/07/2020,2258,27,0,15,101
,Togo,04/07/2020,65,3,23,8.6195,0.8248
,Trinidad and Tobago,04/07/2020,107,8,1,10.6918,-61.2225
,Tunisia,04/07/2020,623,23,25,34,9
,Turkey,04/07/2020,34109,725,1582,38.9637,35.2433
,Uganda,04/07/2020,52,0,0,1,32
,Ukraine,04/07/2020,1462,45,28,48.3794,31.1656
,United Arab Emirates,04/07/2020,2359,12,186,24,54
Bermuda,United Kingdom,04/07/2020,39,2,17,32.3078,-64.7505
Cayman Islands,United Kingdom,04/07/2020,45,1,6,19.3133,-81.2546
Channel Islands,United Kingdom,04/07/2020,335,7,34,49.3723,-2.3644
Gibraltar,United Kingdom,04/07/2020,113,0,60,36.1408,-5.3536
Isle of Man,United Kingdom,04/07/2020,150,1,73,54.2361,-4.5481
Montserrat,United Kingdom,04/07/2020,9,0,0,16.7425,-62.1874
,United Kingdom,04/07/2020,55242,6159,135,55.3781,-3.436
,Uruguay,04/07/2020,424,7,150,-32.5228,-55.7658
,US,04/07/2020,396223,12722,21763,37.0902,-95.7129
,Uzbekistan,04/07/2020,520,2,30,41.3775,64.5853
,Venezuela,04/07/2020,165,7,65,6.4238,-66.5897
,Vietnam,04/07/2020,249,0,123,16,108
,Zambia,04/07/2020,39,1,7,-15.4167,28.2833
,Zimbabwe,04/07/2020,11,2,0,-20,30
Diamond Princess,Canada,04/07/2020,0,1,42,0,0
,Dominica,04/07/2020,15,0,0,15.415,-61.371
,Grenada,04/07/2020,12,0,24,12.1165,-61.679
,Mozambique,04/07/2020,10,0,0,-18.665695,35.529562
,Syria,04/07/2020,19,2,0,34.802075,38.996815
,Timor-Leste,04/07/2020,1,0,0,-8.874217,125.727539
,Belize,04/07/2020,7,1,0,13.1939,-59.5432
Recovered,Canada,04/07/2020,0,0,0,0,0
,Laos,04/07/2020,14,0,0,19.85627,102.495496
,Libya,04/07/2020,20,1,0,26.3351,17.228331
,West Bank and Gaza,04/07/2020,261,1,0,31.9522,35.2332
,Guinea-Bissau,04/07/2020,33,0,0,11.8037,-15.1804
,Mali,04/07/2020,56,5,0,17.570692,-3.996166
,Saint Kitts and Nevis,04/07/2020,11,0,0,17.357822,-62.782998
Northwest Territories,Canada,04/07/2020,5,0,0,64.8255,-124.8457
Yukon,Canada,04/07/2020,7,0,0,64.2823,-135
,Kosovo,04/07/2020,170,4,0,42.602636,20.902977
,Burma,04/07/2020,22,1,0,21.9162,95.956
Anguilla,United Kingdom,04/07/2020,3,0,,18.2206,-63.0686
British Virgin Islands,United Kingdom,04/07/2020,3,0,,18.4207,-64.64
Turks and Caicos Islands,United Kingdom,04/07/2020,8,1,,21.694,-71.7979
,MS Zaandam,04/07/2020,9,2,,0,0
,Botswana,04/07/2020,6,1,,-22.3285,24.6849
,Burundi,04/07/2020,3,0,,-3.3731,29.9189
,Sierra Leone,04/07/2020,6,0,,8.460555,-11.779889
"Bonaire, Sint Eustatius and Saba",Netherlands,04/07/2020,2,0,,12.1784,-68.2385
,Malawi,04/07/2020,8,1,,-13.254308,34.301525
Falkland Islands (Malvinas),United Kingdom,04/07/2020,2,0,,-51.7963,-59.5236
Saint Pierre and Miquelon,France,04/07/2020,1,0,,46.8852,-56.3159
,South Sudan,04/07/2020,2,0,,6.877,31.307
,Western Sahara,04/07/2020,4,0,,24.2155,-12.8858
,Sao Tome and Principe,04/07/2020,4,0,,0.18636,6.613081
